id,_name,_prefix,_province_id,sync_words
493,Gia Viễn,Huyện,41,"gia vien,huyen gia vien"
494,Hoa Lư,Huyện,41,"hoa lu,huyen hoa lu"
495,Kim Sơn,Huyện,41,"kim son,huyen kim son"
496,Nho Quan,Huyện,41,"nho quan,huyen nho quan"
497,Ninh Bình,Thành phố,41,"ninh binh,thanh pho ninh binh"
498,Tam Điệp,Thị xã,41,"tam diep,thi xa tam diep"
499,Yên Khánh,Huyện,41,"yen khanh,huyen yen khanh"
500,Yên Mô,Huyện,41,"yen mo,huyen yen mo"
501,Cẩm Khê,Huyện,42,"cam khe,huyen cam khe"
502,Đoan Hùng,Huyện,42,"doan hung,huyen doan hung"
503,Hạ Hòa,Huyện,42,"ha hoa,huyen ha hoa"
504,Lâm Thao,Huyện,42,"lam thao,huyen lam thao"
505,Phù Ninh,Huyện,42,"phu ninh,huyen phu ninh"
506,Phú Thọ,Thị xã,42,"phu tho,thi xa phu tho"
507,Tam Nông,Huyện,42,"tam nong,huyen tam nong"
508,Tân Sơn,Huyện,42,"tan son,huyen tan son"
509,Thanh Ba,Huyện,42,"thanh ba,huyen thanh ba"
510,Thanh Sơn,Huyện,42,"thanh son,huyen thanh son"
511,Thanh Thủy,Huyện,42,"thanh thuy,huyen thanh thuy"
512,Việt Trì,Thành phố,42,"viet tri,thanh pho viet tri"
513,Yên Lập,Huyện,42,"yen lap,huyen yen lap"
514,Bác Ái,Huyện,43,"bac ai,huyen bac ai"
515,Ninh Hải,Huyện,43,"ninh hai,huyen ninh hai"
516,Ninh Phước,Huyện,43,"ninh phuoc,huyen ninh phuoc"
517,Ninh Sơn,Huyện,43,"ninh son,huyen ninh son"
518,Phan Rang - Tháp Chàm,Thành phố,43,"phan rang - thap cham,thanh pho phan rang - thap cham"
519,Thuận Bắc,Huyện,43,"thuan bac,huyen thuan bac"
520,Thuận Nam,Huyện,43,"thuan nam,huyen thuan nam"
521,Đông Hòa,Huyện,44,"dong hoa,huyen dong hoa"
522,Đồng Xuân,Huyện,44,"dong xuan,huyen dong xuan"
523,Phú Hòa,Huyện,44,"phu hoa,huyen phu hoa"
524,Sơn Hòa,Huyện,44,"son hoa,huyen son hoa"
525,Sông Cầu,Thị xã,44,"song cau,thi xa song cau"
526,Sông Hinh,Huyện,44,"song hinh,huyen song hinh"
527,Tây Hòa,Huyện,44,"tay hoa,huyen tay hoa"
