"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
167,"7",Phường,1,12,"7",phuong 7
168,"8",Phường,1,12,"8",phuong 8
169,"9",Phường,1,12,"9",phuong 9
170,An Phú Đông,Phường,1,13,an phu dong,phuong an phu dong
171,Đông Hưng Thuận,Phường,1,13,dong hung thuan,phuong dong hung thuan
172,Hiệp Thành,Phường,1,13,hiep thanh,phuong hiep thanh
173,Tân Chánh Hiệp,Phường,1,13,tan chanh hiep,phuong tan chanh hiep
174,Tân Hưng Thuận,Phường,1,13,tan hung thuan,phuong tan hung thuan
175,Tân Thới Hiệp,Phường,1,13,tan thoi hiep,phuong tan thoi hiep
176,Tân Thới Nhất,Phường,1,13,tan thoi nhat,phuong tan thoi nhat
177,Thạnh Lộc,Phường,1,13,thanh loc,phuong thanh loc
178,Thạnh Xuân,Phường,1,13,thanh xuan,phuong thanh xuan
179,Thới An,Phường,1,13,thoi an,phuong thoi an
180,Trung Mỹ Tây,Phường,1,13,trung my tay,phuong trung my tay
181, Thạnh Mỹ Lợi,Phường,1,14, thanh my loi,phuong  thanh my loi
182,An Khánh,Phường,1,14,an khanh,phuong an khanh
183,An Lợi Đông,Phường,1,14,an loi dong,phuong an loi dong
184,An Phú,Phường,1,14,an phu,phuong an phu
185,Bình An,Phường,1,14,binh an,phuong binh an
186,Bình Khánh,Phường,1,14,binh khanh,phuong binh khanh
187,Bình Trưng Đông,Phường,1,14,binh trung dong,phuong binh trung dong
188,Bình Trưng Tây,Phường,1,14,binh trung tay,phuong binh trung tay
189,Cát Lái,Phường,1,14,cat lai,phuong cat lai
190,Thảo Điền,Phường,1,14,thao dien,phuong thao dien
191,Thủ Thiêm,Phường,1,14,thu thiem,phuong thu thiem
192,"1",Phường,1,15,"1",phuong 1
193,"10",Phường,1,15,"10",phuong 10
194,"11",Phường,1,15,"11",phuong 11
195,"12",Phường,1,15,"12",phuong 12
196,"13",Phường,1,15,"13",phuong 13
197,"14",Phường,1,15,"14",phuong 14
198,"2",Phường,1,15,"2",phuong 2
199,"3",Phường,1,15,"3",phuong 3
200,"4",Phường,1,15,"4",phuong 4
201,"5",Phường,1,15,"5",phuong 5
202,"6",Phường,1,15,"6",phuong 6
203,"7",Phường,1,15,"7",phuong 7
204,"8",Phường,1,15,"8",phuong 8
205,"9",Phường,1,15,"9",phuong 9
206,"1",Phường,1,16,"1",phuong 1
207,"10",Phường,1,16,"10",phuong 10
208,"12",Phường,1,16,"12",phuong 12
209,"13",Phường,1,16,"13",phuong 13
210,"14",Phường,1,16,"14",phuong 14
211,"15",Phường,1,16,"15",phuong 15
212,"16",Phường,1,16,"16",phuong 16
213,"18",Phường,1,16,"18",phuong 18
214,"2",Phường,1,16,"2",phuong 2
215,"3",Phường,1,16,"3",phuong 3
216,"4",Phường,1,16,"4",phuong 4
217,"5",Phường,1,16,"5",phuong 5
218,"6",Phường,1,16,"6",phuong 6
219,"8",Phường,1,16,"8",phuong 8
220,"9",Phường,1,16,"9",phuong 9
221,"1",Phường,1,17,"1",phuong 1
222,"10",Phường,1,17,"10",phuong 10
223,"11",Phường,1,17,"11",phuong 11
224,"12",Phường,1,17,"12",phuong 12
225,"13",Phường,1,17,"13",phuong 13
226,"14",Phường,1,17,"14",phuong 14
227,"15",Phường,1,17,"15",phuong 15
228,"2",Phường,1,17,"2",phuong 2
229,"3",Phường,1,17,"3",phuong 3
230,"4",Phường,1,17,"4",phuong 4
231,"5",Phường,1,17,"5",phuong 5
232,"6",Phường,1,17,"6",phuong 6
233,"7",Phường,1,17,"7",phuong 7
234,"8",Phường,1,17,"8",phuong 8
235,"9",Phường,1,17,"9",phuong 9
236,"1",Phường,1,18,"1",phuong 1
237,"10",Phường,1,18,"10",phuong 10
238,"11",Phường,1,18,"11",phuong 11
239,"12",Phường,1,18,"12",phuong 12
240,"13",Phường,1,18,"13",phuong 13
241,"14",Phường,1,18,"14",phuong 14
242,"2",Phường,1,18,"2",phuong 2
243,"3",Phường,1,18,"3",phuong 3
244,"4",Phường,1,18,"4",phuong 4
245,"5",Phường,1,18,"5",phuong 5
246,"6",Phường,1,18,"6",phuong 6
247,"7",Phường,1,18,"7",phuong 7
248,"8",Phường,1,18,"8",phuong 8
249,"9",Phường,1,18,"9",phuong 9
250,Bình Thuận,Phường,1,19,binh thuan,phuong binh thuan
251,Phú Mỹ,Phường,1,19,phu my,phuong phu my
252,Phú Thuận,Phường,1,19,phu thuan,phuong phu thuan
253,Tân Hưng,Phường,1,19,tan hung,phuong tan hung
254,Tân Kiểng,Phường,1,19,tan kieng,phuong tan kieng
255,Tân Phong,Phường,1,19,tan phong,phuong tan phong
256,Tân Phú,Phường,1,19,tan phu,phuong tan phu
257,Tân Quy,Phường,1,19,tan quy,phuong tan quy
